node,g1,g2,g3,g4,g5,g6,g7,g8,Hydro,HydroRoR,Min_Hyd_Level,Max_Hyd_Level
1,0,0,0,0,0,0,0,0,0,3149,202125,768075
2,0,0,0,0,0,0,0,0,26819,1328,7578508,28798331
3,0,0,0,0,0,0,0,0,15949,0,4045250,15371950
4,0,0,0,0,0,0,0,0,0,6,0,0
5,0,0,0,0,0,0,0,0,8578,11222,1045750,3973850
6,0,0,0,0,0,0,0,0,1451,4102,343325,1304635
7,0,0,0,0,0,0,0,0,0,216,783750,2978250
8,0,0,0,0,0,0,0,0,13941,16659,4627750,17585450
9,0,0,0,0,0,0,0,0,157,2130,138000,524400
10,0,0,0,0,0,0,0,0,20640,3990,4280750,16266850
11,0,0,0,0,0,0,0,0,13392,10391,5369750,20405050