l,dist,cost,converter_cost,M,C,B,efficiency,lifetime
1,1665,400,150000,0.02,0,1,0.95,40
2,1071,400,150000,0.02,0,1,0.95,40
3,1086,400,150000,0.02,0,1,0.95,40
4,669,400,150000,0.02,0,1,0.95,40
5,561,400,150000,0.02,0,1,0.95,40
6,1093,400,150000,0.02,0,1,0.95,40
7,1617,400,150000,0.02,0,1,0.95,40
8,623,400,150000,0.02,0,1,0.95,40
9,1175,400,150000,0.02,0,1,0.95,40
10,842,400,150000,0.02,0,1,0.95,40
11,595,400,150000,0.02,0,1,0.95,40
12,1484,400,150000,0.02,0,1,0.95,40
13,1091,400,150000,0.02,0,1,0.95,40
14,748,400,150000,0.02,0,1,0.95,40
15,817,400,150000,0.02,0,1,0.95,40
16,1528,400,150000,0.02,0,1,0.95,40
17,1124,400,150000,0.02,0,1,0.95,40
18,1690,400,150000,0.02,0,1,0.95,40
19,1175,400,150000,0.02,0,1,0.95,40
20,1320,400,150000,0.02,0,1,0.95,40
21,1140,400,150000,0.02,0,1,0.95,40
22,1451,400,150000,0.02,0,1,0.95,40
23,2229,400,150000,0.02,0,1,0.95,40
24,567,400,150000,0.02,0,1,0.95,40
25,573,400,150000,0.02,0,1,0.95,40